time,week,Affordable housing,Public housing,Mortgage loan ,Health care,Medical card,Education,Water charges,Jobs,Abortion,Crime,Tax,Economy,Environment,Flood,ISIS
1/1/2016,1,13,15,6,8,9,4,11,1,10,7,3,12,14,2,5
1/2/2016,2,15,12,6,10,8,5,11,1,9,7,3,13,14,2,4
1/3/2016,3,15,14,6,8,9,5,13,1,10,7,3,11,12,2,4
1/4/2016,4,15,14,6,9,7,5,13,1,10,8,2,11,12,3,4
1/5/2016,5,15,14,5,8,7,4,12,1,10,9,2,11,13,3,6
1/6/2016,6,15,14,5,8,7,4,11,1,10,9,2,12,13,3,6
1/7/2016,7,15,13,5,9,6,4,11,1,10,8,2,12,14,3,7
1/8/2016,8,15,11,5,9,7,4,12,1,13,8,2,10,14,3,6
1/9/2016,9,15,14,5,9,8,3,13,1,10,7,2,11,12,4,6
1/10/2016,10,15,14,5,8,9,3,13,1,11,7,2,10,12,4,6
1/11/2016,11,15,14,4,9,6,3,12,1,10,7,2,11,13,5,8
1/12/2016,12,12,13,4,7,6,3,15,1,10,9,2,11,14,5,8
1/13/2016,13,15,14,4,7,6,3,12,1,10,9,2,11,13,5,8
1/14/2016,14,15,13,4,8,7,3,14,1,10,9,2,11,12,6,5
1/15/2016,15,15,13,4,8,5,3,11,1,10,9,2,12,14,7,6
1/16/2016,16,14,13,4,7,9,3,12,1,10,6,2,11,15,8,5
1/17/2016,17,14,12,4,9,7,3,13,1,11,6,2,10,15,8,5
1/18/2016,18,15,14,4,6,5,3,12,1,11,9,2,10,13,8,7
1/19/2016,19,15,11,4,6,7,3,14,1,12,8,2,10,13,9,5
1/20/2016,20,15,14,4,7,5,3,12,1,11,8,2,10,13,9,6
1/21/2016,21,15,13,4,8,5,3,12,1,10,9,2,11,14,7,6
1/22/2016,22,15,14,4,9,5,3,10,1,11,8,2,12,13,7,6
1/23/2016,23,15,13,4,9,7,3,10,1,11,6,2,12,14,8,5
1/24/2016,24,15,13,4,7,8,3,10,1,11,6,2,12,14,9,5
1/25/2016,25,15,13,4,7,6,3,12,1,11,8,2,10,14,9,5
1/26/2016,26,15,14,5,8,6,3,12,1,11,9,2,10,13,4,7
1/27/2016,27,15,14,4,9,6,3,12,1,10,7,2,11,13,5,8
1/28/2016,28,15,14,4,6,5,3,12,1,11,9,2,10,13,8,7
1/29/2016,29,15,14,4,7,5,3,10,1,11,8,2,12,13,9,6
1/30/2016,30,14,13,4,8,7,3,11,1,9,5,2,12,15,10,6
1/31/2016,31,14,13,4,8,7,3,15,1,10,6,2,11,12,9,5
2/1/2016,32,15,14,4,6,5,3,12,1,10,8,2,11,13,9,7
2/2/2016,33,15,14,4,6,5,3,13,1,11,9,2,10,12,8,7
2/3/2016,34,15,13,4,7,5,3,12,1,10,8,2,11,14,9,6
2/4/2016,35,15,14,4,6,7,3,11,1,10,8,2,12,13,9,5
2/5/2016,36,15,14,4,8,6,3,12,1,11,5,2,10,13,9,7
2/6/2016,37,14,15,4,9,7,3,12,1,10,5,2,11,13,8,6
2/7/2016,38,15,13,5,7,8,3,12,1,9,4,2,11,14,10,6
2/8/2016,39,15,14,4,8,6,3,12,1,10,5,2,11,13,7,9
2/9/2016,40,15,14,4,7,6,3,13,1,11,5,2,12,10,8,9
2/10/2016,41,15,14,5,6,7,3,13,1,11,4,2,12,10,8,9
2/11/2016,42,15,14,4,7,6,3,13,1,9,5,2,12,10,11,8
2/12/2016,43,15,14,4,6,7,3,13,1,11,5,2,12,10,9,8
2/13/2016,44,12,14,5,8,9,3,15,1,10,4,2,11,13,7,6
2/14/2016,45,15,14,5,6,8,3,13,1,10,4,2,11,12,9,7
2/15/2016,46,15,14,4,5,6,3,12,1,8,7,2,13,11,10,9
2/16/2016,47,15,13,4,7,5,3,12,1,10,6,2,14,11,9,8
2/17/2016,48,15,12,4,5,6,3,13,1,10,7,2,14,11,8,9
